layers,activation,batch_size,loss,mae,r2_score,root_mean_squared_error,val_loss,val_mae,val_r2_score,val_root_mean_squared_error,learning_rate
[64],prelu,32,0.029071300942450744,0.25380945764482005,0.5299872756004333,0.35205466747283914,0.03162860199809072,0.2617980875074862,0.5182482004165649,0.36737669631838776,0.0005000000237487257
[64],prelu,32,0.02890323423780499,0.2530918657779692,0.5327072143554688,0.35103452950715996,0.03275809395126996,0.26093696765601615,0.5007319450378418,0.3739958994090555,0.0005000000237487257
[64],prelu,32,0.029362105298787335,0.25454415753483756,0.5251789689064026,0.3538508817553518,0.03402448212727902,0.26273363046348075,0.4813227653503418,0.3811961986124513,0.0005000000237487257
[64],prelu,32,0.02897117775864897,0.2535430818796156,0.5315427780151367,0.35147161707282043,0.032716831658035496,0.2609072208404539,0.5013047456741333,0.37378128021955465,0.0005000000237487257
[64],prelu,32,0.02901989477686582,0.2541689824312924,0.5307254195213318,0.35177811980247475,0.032972763199359156,0.26075236760079845,0.4974563717842102,0.37522075697779633,0.0005000000237487257
[64],prelu,32,0.029137970972806196,0.2537525270134209,0.5287438631057739,0.35252004414796806,0.0330184726975858,0.2611009515821932,0.49667632579803467,0.37551181763410546,0.0005000000237487257
[64],prelu,32,0.02908300063572822,0.2538882859051226,0.5296377539634705,0.3521855406463144,0.0327151416800916,0.2612257856875656,0.5012403726577759,0.3738054044544694,0.0005000000237487257
[64],prelu,32,0.029241390014067274,0.25446537733077984,0.5269933938980103,0.35317415371537186,0.03286127271130679,0.2614154797047375,0.4989891052246094,0.3746481187641618,0.0005000000237487257
[64],prelu,32,0.02894375165924428,0.253950374573469,0.5318310260772705,0.35136345848441103,0.03200724315829573,0.26121691130101665,0.5121540427207947,0.3696930713951585,0.0005000000237487257
[64],prelu,32,0.029192226473242024,0.2540186144411562,0.5277739763259888,0.35288258045911763,0.03234724709764121,0.2606008943170307,0.5068864226341248,0.3716836251318452,0.0005000000237487257
[64],prelu,32,0.029125896841287593,0.25411355756223186,0.5288302898406982,0.35248771831393216,0.03247558530420063,0.2615354441106318,0.5048654079437256,0.37244451567530606,0.0005000000237487257
[64],prelu,32,0.02888779817149041,0.2530179392546414,0.5326857566833496,0.3510425709187982,0.03183285105042157,0.2605957362800835,0.5148595571517944,0.368666525930166,0.0002500000118743628
[64],prelu,32,0.028770709130913,0.2529138173907994,0.5345987677574158,0.35032332912087416,0.03186497865244744,0.26611794345080836,0.5144205689430237,0.3688332810997961,0.0002500000118743628
[64],prelu,32,0.02886781878769396,0.25362336784601197,0.5329479575157166,0.350944087654352,0.031696227146312574,0.26464884802699074,0.516954243183136,0.3678697533905504,0.0002500000118743628
[64],prelu,32,0.02874679914675651,0.25318487063050255,0.5349196791648865,0.3502025157213209,0.031657950347289424,0.26121412403881533,0.5175331830978394,0.36764927133917785,0.0002500000118743628
[64],prelu,32,0.029121609823778254,0.253833197429776,0.5287501215934753,0.3525177054107187,0.03167779357172547,0.264129504188895,0.5171948075294495,0.36777815818786597,0.0002500000118743628
[64],prelu,32,0.028772663418203573,0.2526368692517279,0.534447431564331,0.35038029178976987,0.03164455466903744,0.2625037293881176,0.5176154375076294,0.36761790663003896,0.0002500000118743628
[64],prelu,32,0.028707689372822625,0.25316146723926053,0.5354470610618591,0.35000391528010344,0.03166375113651154,0.263587077334523,0.517369270324707,0.3677116803824899,0.0002500000118743628
[64],prelu,32,0.028995768539607506,0.25349621102213843,0.5307250022888184,0.3517782799899576,0.03162408270873127,0.26429630741476995,0.5178849697113037,0.3675151944160459,0.0002500000118743628
[64],prelu,32,0.02866324936039744,0.25284112431108935,0.5361331701278687,0.34974534064531304,0.03166682273149488,0.2641329642385243,0.5172616839408875,0.3677526883780954,0.0002500000118743628
[64],prelu,32,0.029079064028337577,0.2538821987807749,0.5293234586715698,0.35230318233370755,0.031603698851540664,0.2618675768375395,0.5181505680084229,0.3674139238893983,0.0002500000118743628
[64],prelu,32,0.028976702224463205,0.2533830385655163,0.5309593677520752,0.35169040113687494,0.031685524620115736,0.26405322290956956,0.516934871673584,0.3678771540522573,0.0002500000118743628
[64],prelu,32,0.028829027386382204,0.253311402723193,0.5333636999130249,0.35078787282109236,0.031630436144769174,0.26285415552556496,0.5177103281021118,0.36758176833391165,0.0002500000118743628
[64],prelu,32,0.029114271234720927,0.2538288723677395,0.5286350250244141,0.3525607638061044,0.0316046559717506,0.2617776475846766,0.5180143713951111,0.3674658566713331,0.0002500000118743628
[64],prelu,32,0.028780919080600122,0.2534325044602154,0.5341016054153442,0.35051039606332757,0.0315711928065866,0.2626370053738354,0.5185662508010864,0.36725543439388253,0.0002500000118743628
[64],prelu,32,0.02903758347965775,0.25361055284738526,0.5298760533332825,0.35209631621837595,0.031836210982874015,0.2612516719847916,0.5144329071044922,0.3688286036252973,0.0002500000118743628
[64],prelu,32,0.02877336423844097,0.25353020280599575,0.5341898202896118,0.35047720521688436,0.031663741124793865,0.26371433027088625,0.5171487331390381,0.36779571473598455,0.0002500000118743628
[64],prelu,32,0.028881584899499994,0.2531414117664097,0.5323644280433655,0.35116325616836525,0.03165430608205495,0.26487442404031736,0.5172356963157654,0.36776258796453454,0.0002500000118743628
[64],prelu,32,0.02887987089343367,0.25366858877241594,0.5323883295059204,0.35115425363183,0.031695964839309435,0.26181551590561847,0.5165263414382935,0.36803266406059243,0.0002500000118743628
[64],prelu,32,0.028959117643535117,0.2541176583617924,0.5310656428337097,0.3516505785286424,0.03158830483444033,0.2626434449106453,0.518208384513855,0.3673918820917604,0.0002500000118743628
[64],prelu,32,0.028941172640770653,0.2533874917775391,0.5313428640365601,0.3515466168522832,0.031572530372068267,0.2631547793745993,0.5184448957443237,0.3673016965389249,0.0002500000118743628
[64],prelu,32,0.028672840585932117,0.25300872847437844,0.5357543230056763,0.34988813176751116,0.03157452270388601,0.26204397529363616,0.518427312374115,0.36730842441320394,0.0002500000118743628
[64],prelu,32,0.028720844769850356,0.2525138292461632,0.5349133610725403,0.3502049185335634,0.03174887476488946,0.2606374170631168,0.5157103538513184,0.36834310740232445,0.0002500000118743628
[64],prelu,32,0.028781089279800633,0.25312436781823616,0.5339435338973999,0.3505698576569555,0.03159711514599619,0.2622780252248047,0.5180550217628479,0.36745035052299474,0.0002500000118743628
[64],prelu,32,0.028972737584263067,0.25376317948102933,0.5308073163032532,0.3517473958432672,0.031603226298466305,0.26181450672447665,0.5178723931312561,0.3675200000405309,0.0002500000118743628
