layers,activation,batch_size,epoch,loss,mae,root_mean_squared_error,r2_score,val_loss,val_mae,val_root_mean_squared_error,val_r2_score,loss_mean,mae_mean,root_mean_squared_error_mean,r2_score_mean,val_loss_mean,val_mae_mean,val_root_mean_squared_error_mean,val_r2_score_mean
[16],prelu,32,11,0.007211124123599292,0.0023969517158825377,0.0029110617630516565,0.015846965639683734,0.01856570367555809,0.0064213962723209065,0.011608214600526932,0.0289814535723847,0.3033620506662694,0.28016912525870424,0.3942412504925583,0.4425973057746887,0.2656892793696547,0.2643461254093849,0.3681446925643684,0.5120634078979492
[16],prelu,32,12,0.00809172355368356,0.0023937590069704373,0.003144055018079509,0.017248422128439394,0.018122063222763392,0.006170504545534158,0.01115038671713148,0.02634638420115595,0.30058521276636563,0.2783996392644271,0.39275223151074484,0.44676789045333865,0.26462540778408405,0.2629562811109795,0.36779226530376546,0.513090455532074
[16],prelu,32,13,0.005912815115655064,0.001756304600874166,0.002753770107612113,0.011964432532885243,0.017153631409771358,0.006443190539996457,0.010848826965299365,0.030334359261465448,0.2991157210333776,0.27750251879695365,0.3921476699050253,0.44857422113418577,0.2633642226842886,0.26327981125940425,0.36728429947361124,0.5142278790473938
[16],prelu,32,14,0.004838724836644616,0.002127625530631213,0.002440455525273006,0.010984036443219554,0.017727211446138712,0.005335382325412831,0.011207497154195443,0.029657726991692016,0.29775541720337617,0.276953719944155,0.39158580600690385,0.4501646041870117,0.2621962584448047,0.2619809145440334,0.3667985806018741,0.5155637979507446
[16],prelu,32,15,0.005859930809290475,0.0014545792298383182,0.0021085940131201734,0.012625102735271692,0.01757496142938718,0.005439900182442447,0.011169567712742409,0.030378055114963953,0.29453912957433787,0.27583425794748617,0.38974205415218177,0.4552959561347961,0.26093808805715857,0.26154250090241377,0.36625080104098073,0.5169693231582642
[16],prelu,32,16,0.008913274335973574,0.0018787730249118317,0.003957000521796333,0.017997005123585815,0.01758675509293894,0.005555302655490584,0.011222038997113186,0.030409128482192332,0.29543275301785954,0.27594830896031475,0.39065162895738686,0.45266176462173463,0.2610139453491839,0.26103243928399095,0.3666377403938542,0.5159517407417298
[16],prelu,32,17,0.00474491882117111,0.0015892392758264332,0.0018819938659479895,0.012574088016318827,0.017159755233797258,0.005786510323553222,0.011004772947233546,0.031140207768235915,0.2932174417688635,0.2752351598953547,0.3894748758370838,0.456040620803833,0.25977993905668256,0.26114672970558284,0.3660640468700137,0.5174130797386169
[16],prelu,32,18,0.003101732130921357,0.0013640024351004214,0.0017153422313843523,0.009530177765986962,0.017457572742731572,0.005150632489592171,0.011257733001413585,0.031179093403447437,0.2900252062668224,0.27420838962157834,0.3875968193422287,0.4613202452659607,0.25961618185246893,0.26133115212604263,0.3662329777240649,0.516982090473175
[16],prelu,32,19,0.004318845115084804,0.0019330344208043247,0.001623563656735153,0.011132421445838928,0.017299315245605806,0.004910352319155491,0.01108002220594796,0.03020374912255611,0.291721584448441,0.2743742977436657,0.38901525681999205,0.45734593868255613,0.25919775569452275,0.26198492325205747,0.36620960455882046,0.517081880569458
[16],prelu,32,20,0.0063261209893179645,0.0016892120810515822,0.0024070968768735083,0.01493208883786086,0.01746632923840964,0.005348382939126953,0.011230539083143193,0.030625831291815536,0.2899504514473358,0.2737458653471622,0.3880439512658021,0.4599865198135376,0.25852637505443266,0.26072548486954367,0.3659688650855079,0.5177029967308044
